Pleasant Valley Conservancy,Borah Creek,Black Earth Rettenmund,Westport Drumlin,Oliver Prairie
0.2450766,0.2968421,0.152,0.1768489,0.1864407
0.1225383,0.2526316,0.1056,0.1157556,0.1016949
0.1094092,0.08210526,0.0832,0.09807074,0.08474576
0.0678337,0.03578947,0.0672,0.0755627,0.05084746
0.03938731,0.03157895,0.064,0.03215434,0.05084746
0.02407002,0.02736842,0.0464,0.03054662,0.05084746
0.02188184,0.0231579,0.0352,0.02893891,0.05084746
0.02188184,0.01894737,0.0272,0.02733119,0.0338983
0.01969365,0.01473684,0.0256,0.02572347,0.0338983
0.01750547,0.01473684,0.0256,0.02250804,0.0338983
0.01750547,0.01263158,0.024,0.02250804,0.0338983
0.01750547,0.01263158,0.024,0.02250804,0.0338983
0.01531729,0.01052632,0.0224,0.02090032,0.0338983
0.01531729,0.01052632,0.0224,0.01929261,0.01694915
0.0131291,0.01052632,0.0192,0.01929261,0.01694915
0.0131291,0.008421053,0.0176,0.01929261,0.01694915
0.01094092,0.008421053,0.0176,0.01768489,0.01694915
0.01094092,0.006315789,0.0144,0.01607717,0.01694915
0.01094092,0.006315789,0.0144,0.01446945,0.01694915
0.008752735,0.006315789,0.0144,0.01286174,0.01694915
0.008752735,0.006315789,0.0128,0.01286174,0.01694915
0.008752735,0.006315789,0.0096,0.01125402,0.01694915
0.008752735,0.006315789,0.0096,0.009646302,0.01694915
0.008752735,0.006315789,0.0096,0.008038585,0.01694915
0.008752735,0.006315789,0.008,0.008038585,0.01694915
0.008752735,0.006315789,0.008,0.006430868,0.01694915
0.008752735,0.006315789,0.008,0.006430868,0
0.008752735,0.004210526,0.0064,0.006430868,0
0.006564551,0.004210526,0.0064,0.006430868,0
0.006564551,0.004210526,0.0064,0.006430868,0
0.006564551,0.004210526,0.0064,0.004823151,0
0.006564551,0.004210526,0.0048,0.004823151,0
0.004376368,0.004210526,0.0048,0.004823151,0
0.004376368,0.002105263,0.0048,0.004823151,0
0.004376368,0.002105263,0.0048,0.004823151,0
0.004376368,0.002105263,0.0048,0.004823151,0
0.004376368,0.002105263,0.0032,0.003215434,0
0.004376368,0.002105263,0.0032,0.003215434,0
0.004376368,0.002105263,0.0032,0.003215434,0
0.004376368,0.002105263,0.0032,0.003215434,0
0.004376368,0.002105263,0.0032,0.003215434,0
0.004376368,0.002105263,0.0032,0.003215434,0
0.004376368,0.002105263,0.0032,0.003215434,0
0.004376368,0.002105263,0.0032,0.003215434,0
0.004376368,0.002105263,0.0016,0.001607717,0
0.004376368,0.002105263,0.0016,0.001607717,0
0.002188184,0.002105263,0.0016,0.001607717,0
0.002188184,0.002105263,0.0016,0.001607717,0
0.002188184,0.002105263,0.0016,0.001607717,0
0.002188184,0.002105263,0.0016,0.001607717,0
0.002188184,0.002105263,0.0016,0.001607717,0
0.002188184,0.002105263,0.0016,0.001607717,0
0.002188184,0,0.0016,0.001607717,0
0.002188184,0,0.0016,0.001607717,0
0.002188184,0,0.0016,0.001607717,0
0,0,0.0016,0.001607717,0
0,0,0.0016,0.001607717,0
0,0,0.0016,0.001607717,0
0,0,0.0016,0.001607717,0
0,0,0.0016,0.001607717,0
0,0,0.0016,0.001607717,0
0,0,0.0016,0.001607717,0
0,0,0.0016,0.001607717,0
0,0,0.0016,0.001607717,0
0,0,0.0016,0.001607717,0
0,0,0.0016,0.001607717,0
0,0,0.0016,0.001607717,0
0,0,0,0.001607717,0
0,0,0,0.001607717,0
0,0,0,0.001607717,0
0,0,0,0.001607717,0
0,0,0,0.001607717,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
