PercentGrass,EasementID
,
12.96815287,0075V
,
10.02547771,0077R
,
44.14575105,0078S
,
36.23631271,00792
,
9.830637973,007BY
,
8.595441233,007C6
,
28.61871419,007F5
,
3.568697425,007KH
,
14.94457893,007R5
,
7.456419392,007V7
,
13.34864727,007XH
,
9.682762135,00MBG
,
16.32653061,00MDP
,
9.889129604,00MJ8
,
36.44943247,00MJ9
,
19.42143494,00MJC
,
6.8315065,00NCQ
,
9.305289994,00VTR
,
6.507896077,00WSC
,
7.303084374,00WV0
,
14.3075551,00WY5
,
8.76433121,00XMS
,
7.122833843,00XMV
,
19.89302089,00XX7
,
12.686282,00XYF
,
4.507257448,0129G
,
2.700292956,Faville
,
12.68466633,Muir Park
,
27.69426752,Oliver Prairie
,
11.97299707,Black Earth Rettenmund
,
14.26386233,Scuppernong
,
21.17931737,Westport Drumlin
,
7.020002548,0074F
,
14.23659748,0074X
,
7.150140199,0078B
,
3.656050955,007CQ
,
8.81377551,00WKB
,
11.88232298,0078F
,
6.181493755,00XXK
,
15.47967894,01DBS
,
14.49681529,007G7
,
8.130495731,0078Z
